id,x,y,radius,neighbors
1,936,64,11,8 28
2,1013,77,12,
3,429,82,12,6 9
4,1036,97,13,11
5,645,117,12,
6,360,114,12,3 10 20
7,571,124,12,9 24
8,909,128,11,1 28
9,443,140,11,3 7 14 24
10,297,139,11,6 13 20 35
11,1048,147,12,4 26
12,137,140,11,15 30
13,240,153,11,10 30
14,406,152,11,9 24
15,100,164,12,12 44
16,732,158,12,25 28 39
17,963,158,11,
18,1097,165,11,26
19,640,166,11,
20,333,177,11,6 10
21,588,179,11,
22,1222,176,12,
23,913,182,11,
24,431,188,11,7 9 14
25,708,187,11,16 41
26,1020,194,12,11 18 38 49
27,1373,193,11,
28,843,194,11,1 8 16 39
29,552,199,11,
30,210,206,11,12 13 35 44 50
31,1111,213,12,
32,757,212,11,
33,1290,225,11,55 63
34,930,224,11,
35,253,234,9,10 30 50
36,1165,242,11,
37,505,243,11,
38,977,253,10,26 49
39,825,254,12,16 28
40,1220,255,11,
41,676,257,11,25 52
42,285,262,11,48 50
43,1335,261,12,
44,144,259,9,15 30
45,867,271,10,49
46,1113,261,11,
47,428,264,11,48 57 72
48,380,265,11,42 47
49,956,269,11,26 38 45 56
50,256,288,11,30 35 42 54
51,838,286,11,
52,641,289,11,41
53,765,300,11,
54,201,308,11,50
55,1219,313,9,33 63
56,961,315,11,49 64
57,415,320,12,47 72
58,1079,316,11,
59,1036,314,11,
60,1135,325,10,
61,1296,328,10,
62,1159,332,11,63 75
63,1230,335,11,33 55 62 67
64,920,345,11,56 76
65,283,347,11,
66,855,346,10,
67,1269,360,11,63
68,582,359,11,77 82
69,788,366,11,86 89
70,696,373,11,
71,66,382,12,88
72,405,378,11,47 57 81
73,1348,391,12,
74,163,391,11,88
75,1142,396,11,62 83 87
76,864,408,11,64 86 93
77,600,400,9,68 82
78,301,402,9,
79,1275,411,10,
80,226,411,11,
81,510,420,11,72 82
82,564,422,10,68 77 81
83,1184,425,11,75 87 91
84,1366,427,11,
85,150,434,9,88
86,788,440,11,69 76 89
87,1107,451,11,75 83 91 96
88,109,450,12,71 74 85 94
89,776,469,13,69 86 93 103 109 111
90,1287,475,11,
91,1191,479,11,83 87 96 122
92,1248,480,9,
93,868,485,9,76 89 111
94,113,484,12,88 100
95,1027,501,11,118 123
96,1128,501,12,87 91 122
97,395,522,9,102
98,370,539,9,99 105
99,270,549,12,98 105
100,136,570,11,94
101,487,574,10,102 104 108
102,442,574,13,97 101 105
103,670,583,11,89 108 109
104,577,582,9,101 108
105,382,605,11,98 99 102
106,151,611,11,117
107,334,618,9,
108,594,626,11,101 103 104 109
109,696,636,9,89 103 108 111 115
110,265,635,9,113
111,786,643,11,89 93 109 115
112,213,655,9,
113,361,660,9,110 120
114,570,666,9,116
115,826,687,9,109 111
116,565,699,9,114 119
117,104,707,9,106
118,895,700,11,95 123 124
119,624,717,9,116
120,417,736,11,113 139
121,480,737,9,
122,1193,738,13,91 96 125 133
123,1003,735,11,95 118 124 125
124,941,749,11,118 123 131 135 147
125,1098,760,9,122 123
126,96,750,9,
127,551,772,10,138
128,811,785,9,131
129,454,778,11,
130,723,775,9,141 150
131,846,778,9,124 128 136
132,1013,794,11,
133,1184,806,10,122 145
134,500,801,9,
135,984,816,9,124 147
136,855,825,11,131
137,1044,829,9,
138,544,830,9,127 142 149
139,432,835,11,120 146
140,289,839,11,146
141,752,851,9,130 150 153
142,484,860,11,138 149
143,829,859,9,150
144,148,857,17,
145,1125,865,11,133 147
146,390,879,11,139 140 148 152
147,1027,902,10,124 135 145
148,471,909,11,146 152
149,589,915,12,138 142 151
150,806,922,9,130 141 143 153
151,633,937,9,149 153
152,307,945,11,146 148
153,684,960,12,141 150 151
